                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3095,                 2.7588,                 1.5731,                0.37162,                 0.4662,                0.37592,                0.20787,                 1.4092,                 2.2034,                 1.8494,              0.0003309,              0.0003309,              0.0003309
                      2,                 1.3244,                 2.0875,                 1.5487,                0.31284,                0.43283,                0.31559,                0.15662,                 1.4851,                 2.4542,                 2.0825,             0.00065985,             0.00065985,             0.00065985
                      3,                 1.3637,                 1.9279,                 1.5779,                0.36374,                0.38887,                0.34938,                0.17684,                 1.5879,                 1.8458,                 1.9787,              0.0009844,              0.0009844,              0.0009844
                      4,                 1.3674,                 1.7677,                 1.5608,                0.63974,                0.36458,                0.35257,                0.19465,                  1.544,                 1.7741,                 1.9628,              0.0009802,              0.0009802,              0.0009802
                      5,                 1.3256,                 1.6154,                 1.5403,                0.42269,                0.37537,                0.38105,                0.21414,                 1.5023,                 1.5789,                 1.8184,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.3273,                 1.5415,                 1.5335,                0.69872,                0.43019,                 0.4684,                0.25126,                 1.5082,                 1.4441,                 1.8209,              0.0009736,              0.0009736,              0.0009736
                      7,                 1.2727,                 1.4059,                  1.477,                0.44596,                0.58724,                0.52981,                0.29815,                 1.4171,                 1.2831,                 1.7881,               0.000967,               0.000967,               0.000967
                      8,                 1.2737,                 1.3858,                 1.4835,                0.58976,                0.52831,                0.50598,                0.29272,                 1.3683,                 1.2825,                 1.7289,              0.0009604,              0.0009604,              0.0009604
                      9,                 1.2414,                  1.291,                 1.4627,                 0.4849,                0.53192,                0.55236,                0.32689,                 1.3634,                 1.2482,                 1.7158,              0.0009538,              0.0009538,              0.0009538
                     10,                 1.2457,                 1.2771,                 1.4587,                0.44467,                0.59985,                0.54916,                0.32117,                 1.3624,                 1.2248,                 1.7413,              0.0009472,              0.0009472,              0.0009472
                     11,                 1.2123,                 1.2532,                 1.4478,                0.57325,                0.60237,                 0.6114,                0.33828,                 1.3519,                  1.177,                  1.733,              0.0009406,              0.0009406,              0.0009406
                     12,                 1.1981,                 1.1999,                 1.4175,                0.70412,                0.58249,                0.59483,                0.33589,                 1.3546,                 1.1189,                  1.733,               0.000934,               0.000934,               0.000934
                     13,                 1.1773,                 1.1519,                 1.4121,                0.48853,                0.56177,                0.54695,                0.32523,                 1.3107,                 1.0914,                 1.6883,              0.0009274,              0.0009274,              0.0009274
                     14,                  1.199,                 1.1633,                 1.4286,                0.73742,                0.49843,                0.55452,                0.31272,                 1.3439,                 1.0756,                 1.7398,              0.0009208,              0.0009208,              0.0009208
                     15,                 1.1796,                 1.1238,                 1.4188,                0.53773,                0.58603,                0.61034,                0.35645,                 1.3532,                 1.0774,                 1.7006,              0.0009142,              0.0009142,              0.0009142
                     16,                 1.1485,                 1.1077,                 1.3971,                0.53901,                0.81321,                0.65249,                0.38597,                 1.2813,                 1.0382,                 1.6496,              0.0009076,              0.0009076,              0.0009076
                     17,                 1.1495,                 1.1203,                 1.3939,                0.47735,                0.76369,                0.59122,                 0.3555,                 1.2788,                 1.0574,                 1.6253,               0.000901,               0.000901,               0.000901
                     18,                   1.15,                 1.0833,                  1.392,                0.46483,                0.78798,                 0.5962,                0.35711,                 1.3399,                 1.1273,                 1.6917,              0.0008944,              0.0008944,              0.0008944
                     19,                 1.1341,                 1.0854,                 1.3979,                0.74601,                0.60457,                0.61347,                 0.3664,                 1.2801,                0.95465,                 1.6656,              0.0008878,              0.0008878,              0.0008878
                     20,                  1.126,                  1.057,                 1.3786,                0.63287,                0.82096,                0.70433,                0.41134,                 1.3334,                0.96375,                 1.7089,              0.0008812,              0.0008812,              0.0008812
                     21,                   1.13,                 1.0369,                  1.383,                0.52233,                0.57874,                0.61249,                0.37388,                 1.2747,                 1.1103,                 1.6703,              0.0008746,              0.0008746,              0.0008746
                     22,                  1.097,                 1.0343,                 1.3776,                0.82454,                0.58695,                0.67506,                 0.4179,                  1.288,                0.98422,                 1.6345,               0.000868,               0.000868,               0.000868
